a	a
beng3	綳
beng3	菶
beng3	誁
beng3	鞛
beng4	*埲
beng4	*堋
beng4	*榜
beng4	*磅
beng4	*繃
beng4	*蚌
beng4	㧍
beng4	埄
beng4	塴
beng4	挷
beng4	搒
beng4	沯
beng4	泵
beng4	洴
beng4	綳
beng4	蜯
beng4	跰
beng4	蹦
beng4	迸
beng4	逬
bi1	偪
bi1	屄
bi1	悂
bi1	毴
bi1	皀
bi1	稫
bi1	螕
bi1	豍
bi1	逼
bi2	*荸
bi2	*鼽
bi2	鼻
bi3	*仳
bi3	*壁
bi3	*媲
bi3	*毗
bi3	*貔
bi3	㚰
bi3	佊
bi3	匕
bi3	啚
bi3	夶
bi3	妣
bi3	屄
bi3	彼
bi3	朼
bi3	柀
bi3	比
bi3	沘
bi3	滗
bi3	潷
bi3	疕
bi3	秕
bi3	笔
bi3	筆
bi3	粃
bi3	舭
bi3	蚍
bi3	袐
bi3	豼
bi3	貏
bi3	鄙
bi3	魮
bi4	*佛
bi4	*嫳
bi4	*擘
bi4	*比
bi4	*毘
bi4	*泌
bi4	*秘
bi4	*稗
bi4	*綼
bi4	*薜
bi4	*謐
bi4	*貔
bi4	*費
bi4	*跛
bi4	*踾
bi4	*逼
bi4	*鄙
bi4	*髲
bi4	㧙
bi4	㻫
bi4	䏟
bi4	䠋
bi4	仏
bi4	佖
bi4	俾
bi4	吡
bi4	咇
bi4	啚
bi4	嗶
bi4	嚊
bi4	坒
bi4	埤
bi4	堛
bi4	壀
bi4	壁
bi4	夶
bi4	妼
bi4	婢
bi4	嬖
bi4	孹
bi4	幣
bi4	庇
bi4	庳
bi4	廦
bi4	弊
bi4	弻
bi4	弼
bi4	彃
bi4	必
bi4	怭
bi4	怶
bi4	愊
bi4	愎
bi4	拂
bi4	敝
bi4	斃
bi4	朇
bi4	枈
bi4	柫
bi4	柲
bi4	梐
bi4	楅
bi4	毖
bi4	湢
bi4	滭
bi4	煏
bi4	熚
bi4	狴
bi4	獘
bi4	獙
bi4	珌
bi4	璧
bi4	畀
bi4	畁
bi4	畢
bi4	疪
bi4	痹
bi4	痺
bi4	皕
bi4	睤
bi4	睥
bi4	碧
bi4	祕
bi4	稫
bi4	箄
bi4	箅
bi4	箆
bi4	篦
bi4	篳
bi4	粊
bi4	縪
bi4	繴
bi4	罼
bi4	聛
bi4	胇
bi4	腷
bi4	臂
bi4	芘
bi4	苾
bi4	菎
bi4	萆
bi4	蓖
bi4	蓽
bi4	蔽
bi4	虑
bi4	蜌
bi4	裨
bi4	襒
bi4	襞
bi4	襣
bi4	觱
bi4	詖
bi4	豼
bi4	貱
bi4	賁
bi4	贔
bi4	蹕
bi4	躃
bi4	躄
bi4	辟
bi4	避
bi4	邲
bi4	鄨
bi4	鄪
bi4	鉍
bi4	鎞
bi4	鏎
bi4	鐴
bi4	鐾
bi4	閇
bi4	閉
bi4	閟
bi4	陛
bi4	鞸
bi4	韠
bi4	飶
bi4	饆
bi4	馝
bi4	駜
bi4	驆
bi4	骳
bi4	髀
bi4	魓
bi4	鮅
bi4	鰏
bi4	鵖
bi4	鷝
bi4	鷩
bi4	鼊
bi4	𢕾
bian1	揙
bian1	柉
bian1	楄
bian1	煸
bian1	牑
bian1	猵
bian1	獱
bian1	甂
bian1	砭
bian1	稨
bian1	箯
bian1	籩
bian1	編
bian1	蝙
bian1	边
bian1	邉
bian1	邊
bian1	鍽
bian1	鞭
bian1	鯾
bian1	鯿
bian3	*砭
bian3	*蝙
bian3	*鴘
bian3	匾
bian3	惼
bian3	扁
bian3	揙
bian3	碥
bian3	稨
bian3	窆
bian3	糄
bian3	萹
bian3	藊
bian3	褊
bian3	貶
bian4	便
bian4	卞
bian4	変
bian4	弁
bian4	徧
bian4	忭
bian4	抃
bian4	揙
bian4	昪
bian4	汳
bian4	汴
bian4	犿
bian4	玣
bian4	緶
bian4	艑
bian4	苄
bian4	覍
bian4	變
bian4	辡
bian4	辧
bian4	辨
bian4	辮
bian4	辯
bian4	遍
bian4	釆
bian4	閞
bian4	鴘
biao1	*僄
biao1	*嘌
biao1	䮽
biao1	儦
biao1	墂
biao1	幖
biao1	彪
biao1	徱
biao1	摽
biao1	杓
biao1	標
biao1	滮
biao1	瀌
biao1	熛
biao1	爂
biao1	猋
biao1	瘭
biao1	磦
biao1	穮
biao1	脿
biao1	膘
biao1	臕
