ㄅㄢ	螌
ㄅㄢ	褩
ㄅㄢ	辬
ㄅㄢ	頒
ㄅㄢˇ	*魬
ㄅㄢˇ	坂
ㄅㄢˇ	扳
ㄅㄢˇ	昄
ㄅㄢˇ	板
ㄅㄢˇ	版
ㄅㄢˇ	瓪
ㄅㄢˇ	粄
ㄅㄢˇ	舨
ㄅㄢˇ	蝂
ㄅㄢˇ	鈑
ㄅㄢˇ	闆
ㄅㄢˇ	阪
ㄅㄢˋ	*畔
ㄅㄢˋ	㫠
ㄅㄢˋ	伴
ㄅㄢˋ	办
ㄅㄢˋ	半
ㄅㄢˋ	姅
ㄅㄢˋ	怑
ㄅㄢˋ	扮
ㄅㄢˋ	拌
ㄅㄢˋ	湴
ㄅㄢˋ	爿
ㄅㄢˋ	瓣
ㄅㄢˋ	秚
ㄅㄢˋ	絆
ㄅㄢˋ	辦
ㄅㄢˋ	鉡
ㄅㄢˋ	靽
ㄅㄣ	*卉
ㄅㄣ	倴
ㄅㄣ	奔
ㄅㄣ	泍
ㄅㄣ	渀
ㄅㄣ	犇
ㄅㄣ	賁
ㄅㄣ	錛
ㄅㄣ	𩣺
ㄅㄣˇ	夲
ㄅㄣˇ	奙
ㄅㄣˇ	本
ㄅㄣˇ	楍
ㄅㄣˇ	泍
ㄅㄣˇ	畚
ㄅㄣˇ	苯
ㄅㄣˋ	*体
ㄅㄣˋ	*奔
ㄅㄣˋ	坌
ㄅㄣˋ	捹
ㄅㄣˋ	撪
ㄅㄣˋ	桳
ㄅㄣˋ	泍
ㄅㄣˋ	犇
ㄅㄣˋ	獖
ㄅㄣˋ	笨
ㄅㄣˋ	逩
ㄅㄣˋ	𦯀
ㄅㄤ	*泵
ㄅㄤ	傍
ㄅㄤ	垹
ㄅㄤ	峀
ㄅㄤ	帮
ㄅㄤ	幇
ㄅㄤ	幚
ㄅㄤ	幫
ㄅㄤ	梆
ㄅㄤ	沯
ㄅㄤ	縍
ㄅㄤ	邦
ㄅㄤ	邫
ㄅㄤ	鞤
ㄅㄤˇ	*螃
ㄅㄤˇ	㧍
ㄅㄤˇ	挷
ㄅㄤˇ	搒
ㄅㄤˇ	榜
ㄅㄤˇ	牓
ㄅㄤˇ	綁
ㄅㄤˇ	膀
ㄅㄤˇ	騯
ㄅㄤˇ	髈
ㄅㄤˋ	*徬
ㄅㄤˋ	*旁
ㄅㄤˋ	*膀
ㄅㄤˋ	傍
ㄅㄤˋ	塝
ㄅㄤˋ	嫎
ㄅㄤˋ	棒
ㄅㄤˋ	棓
ㄅㄤˋ	玤
ㄅㄤˋ	甏
ㄅㄤˋ	磅
ㄅㄤˋ	稖
ㄅㄤˋ	艕
ㄅㄤˋ	蒡
ㄅㄤˋ	蚄
ㄅㄤˋ	蚌
ㄅㄤˋ	蜯
ㄅㄤˋ	謗
ㄅㄤˋ	鎊
ㄅㄤˋ	髈
ㄅㄥ	*痭
ㄅㄥ	伻
ㄅㄥ	塴
ㄅㄥ	奟
ㄅㄥ	崩
ㄅㄥ	嵭
ㄅㄥ	弸
ㄅㄥ	祊
ㄅㄥ	絣
ㄅㄥ	綳
ㄅㄥ	繃
ㄅㄥ	閍
ㄅㄥˇ	*琣
ㄅㄥˇ	*繃
ㄅㄥˇ	䭰
ㄅㄥˇ	埲
ㄅㄥˇ	浲
ㄅㄥˇ	漨
ㄅㄥˇ	玤
ㄅㄥˇ	琫
ㄅㄥˇ	綳
ㄅㄥˇ	菶
ㄅㄥˇ	誁
ㄅㄥˇ	鞛
ㄅㄥˊ	甭
ㄅㄥˊ	甮
ㄅㄥˋ	*埲
ㄅㄥˋ	*堋
ㄅㄥˋ	*榜
ㄅㄥˋ	*磅
ㄅㄥˋ	*繃
ㄅㄥˋ	*蚌
ㄅㄥˋ	㧍
ㄅㄥˋ	埄
ㄅㄥˋ	塴
ㄅㄥˋ	挷
ㄅㄥˋ	搒
ㄅㄥˋ	沯
ㄅㄥˋ	泵
ㄅㄥˋ	洴
ㄅㄥˋ	綳
ㄅㄥˋ	蜯
ㄅㄥˋ	跰
ㄅㄥˋ	蹦
ㄅㄥˋ	迸
